"player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"Taylor Rapp","DB","BUF",3.78,0.247,0,3.62,3.93,-1.38,-1.45,-1.4,306,379,365,57,"13",NA,NA,76
"Jeremy Chinn","DB","LVR",3.78,0.106,0,3.71,3.84,-1.38,-1.36,-1.49,306,365,383,57,"13",NA,NA,37
"Kamren Curl","DB","LAR",3.75,0.141,0.025,3.66,3.84,-1.4,-1.4,-1.49,312,370,386,58,"13",NA,NA,48
"Christian Kirk","WR","HOU",7.94,1.58,0.016,5.5,9.12,-1.41,-2.17,-1.7,313,504,429,46,"9",NA,NA,76
"Rashid Shaheed","WR","NO",7.92,0.626,0.0933,7,8.57,-1.42,-0.678,-2.25,314,226,518,47,"9",NA,NA,3
"Greg Newsome","DB","CLE",3.72,0.106,0.025,3.66,3.79,-1.43,-1.41,-1.54,316,371,391,59,"13",NA,NA,34
"Geno Stone","DB","CIN",3.7,0.0707,0.025,3.66,3.74,-1.45,-1.41,-1.58,317,373,396,60,"13",NA,NA,17
"Trevon Moehrig","DB","CAR",3.7,0.141,0,3.61,3.79,-1.45,-1.45,-1.54,317,381,392,60,"13",NA,NA,42
"Chris Rodriguez","RB","WAS",5.82,1.65,0.0101,3.39,7.48,-1.47,-1.64,-0.983,318,423,271,38,"11",NA,NA,77
"Tyler Allgeier","RB","ATL",5.81,0.704,0.0253,4.79,6.57,-1.48,-0.243,-1.9,322,156,468,39,"11",NA,NA,10
"Kenneth Gainwell","RB","PIT",5.79,2.02,0.078,3.06,7.66,-1.51,-1.97,-0.808,325,479,227,40,"11",NA,NA,90
"Jordan Addison","WR","MIN",7.83,3.64,0.0587,2.03,10.3,-1.51,-5.65,-0.557,326,871,190,48,"9",NA,NA,99
"Henry To'oTo'o","LB","HOU",2.5,0.495,0.025,2.19,2.82,-1.55,-1.78,-1.38,329,454,357,36,"12",NA,NA,79
"Browns","DST","CLE",2.44,0.612,0.117,1.61,3.1,-1.56,-1.51,-2.08,330,396,492,30,"22",NA,NA,74
"Darnell Mooney","WR","ATL",7.77,1.18,0.00926,6.16,8.95,-1.57,-1.52,-1.87,331,404,461,49,"9",NA,NA,46
"Romeo Doubs","WR","GB",7.76,1.01,0.00129,6.52,8.8,-1.58,-1.16,-2.02,334,328,481,50,"9",NA,NA,27
"Wan'Dale Robinson","WR","NYG",7.76,0.492,0.103,6.99,8.19,-1.58,-0.691,-2.63,335,227,560,51,"9",NA,NA,1
"Justin Strnad","LB","DEN",2.48,0.0354,0.125,2.45,2.5,-1.58,-1.51,-1.7,333,399,428,37,"12",NA,NA,3
"Woody Marks","RB","HOU",5.71,2.62,0.052,1.68,7.58,-1.59,-3.35,-0.888,336,629,244,41,"11",NA,NA,97
"Rachaad White","RB","TB",5.66,1.32,0.0619,3.74,7.01,-1.64,-1.29,-1.45,342,356,376,42,"11",NA,NA,54
"Graham Gano","K","NYG",6.76,0.899,0.00356,5.82,8,-1.67,-0.882,-1.84,344,270,454,28,"2",NA,NA,6
"Andres Borregales","K","NE",6.76,1.14,0.0576,5.49,8.21,-1.67,-1.22,-1.63,345,342,407,29,"3",NA,NA,26
"Chiefs","DST","KC",2.33,0.582,0.353,1.59,2.88,-1.68,-1.52,-2.29,349,405,523,31,"23",NA,NA,65
"Chris Godwin","WR","TB",7.65,2.24,0.0128,4.68,10.2,-1.69,-2.99,-0.605,350,585,196,52,"9",NA,NA,94
"Rico Dowdle","RB","CAR",5.6,1.02,0.113,4.52,7.13,-1.7,-0.51,-1.34,354,198,347,43,"11",NA,NA,32
"Marquise Brown","WR","KC",7.64,1.57,0.317,5.63,9.73,-1.7,-2.05,-1.09,351,486,297,53,"9",NA,NA,75
"Demetrius Knight","LB","CIN",2.35,0,0.1,2.35,2.35,-1.7,-1.61,-1.85,353,419,455,38,"13",NA,NA,1
"Tua Tagovailoa","QB","MIA",16.9,1.27,0.383,15.2,18.4,-1.71,-1.29,-2.03,355,355,482,21,"6",NA,NA,29
"Joey Slye","K","TEN",6.7,1.57,0.21,4.68,8.45,-1.73,-2.03,-1.39,358,483,359,30,"3",NA,NA,84
"Frankie Luvu","LB","WAS",2.25,0.566,0.125,1.89,2.61,-1.8,-2.07,-1.59,362,488,397,39,"13",NA,NA,87
"Akeem Davis-Gaither","LB","ARI",2.25,0.283,0,2.07,2.43,-1.8,-1.89,-1.76,362,471,440,39,"13",NA,NA,57
"Devin Singletary","RB","NYG",5.48,2.29,0.163,2.47,8.13,-1.81,-2.56,-0.337,363,545,159,44,"11",NA,NA,94
"Pat Freiermuth","TE","PIT",5.28,0.977,0.197,3.98,6.41,-1.86,-1.78,-1.46,366,456,377,22,"8",NA,NA,54
"Drue Tranquill","LB","KC",2.12,0.318,0.075,1.92,2.33,-1.93,-2.04,-1.87,372,485,460,40,"13",NA,NA,60
"Blake Grupe","K","NO",6.49,1.19,0.479,5.03,7.96,-1.94,-1.68,-1.88,373,435,462,31,"3",NA,NA,29
"Bhayshul Tuten","RB","JAC",5.32,1.47,0.388,3.43,7.17,-1.98,-1.6,-1.3,376,415,339,45,"12",NA,NA,66
"Deion Jones","LB","TB",2.05,NA,0.025,2.05,2.05,-2,-1.91,-2.15,377,474,502,41,"14",NA,NA,NA
"Stefon Diggs","WR","NE",7.32,1.1,0.127,5.77,8.48,-2.02,-1.91,-2.34,378,473,530,54,"9",NA,NA,38
"Saints","DST","NO",1.97,0.55,0,1.23,2.51,-2.03,-1.88,-2.66,380,470,566,32,"23",NA,NA,61
"Tyrice Knight","LB","SEA",2.03,0.247,0.075,1.87,2.18,-2.03,-2.1,-2.01,379,491,479,42,"14",NA,NA,51
"Jake Tonges","TE","SF",5.09,1.29,0.0142,4.03,6.95,-2.06,-1.74,-0.918,381,445,254,23,"8",NA,NA,83
"Evan Engram","TE","DEN",5.07,1.51,0.0666,2.99,6.84,-2.07,-2.78,-1.03,382,566,281,24,"8",NA,NA,94
"Dak Prescott","QB","DAL",16.5,1.64,0.55,14.1,18.2,-2.1,-2.4,-2.19,384,525,508,22,"7",NA,NA,54
"Jack Sanborn","LB","DAL",1.95,0.636,2.22e-16,1.54,2.36,-2.1,-2.42,-1.84,385,530,451,43,"14",NA,NA,96
"Matt Milano","LB","BUF",1.95,0.495,0.025,1.64,2.26,-2.1,-2.33,-1.93,385,518,469,44,"14",NA,NA,79
"Christian Elliss","LB","NE",1.95,0.141,0,1.86,2.04,-2.1,-2.1,-2.16,385,493,505,44,"14",NA,NA,22
"Troy Dye","LB","LAC",1.92,0.106,2.22e-16,1.86,1.99,-2.13,-2.11,-2.2,388,494,513,45,"14",NA,NA,18
"Trevin Wallace","LB","CAR",1.92,0.0354,0,1.9,1.95,-2.13,-2.06,-2.25,388,487,517,45,"14",NA,NA,3
"Omar Speights","LB","LAR",1.92,0.177,0.025,1.81,2.04,-2.13,-2.15,-2.16,388,499,507,46,"14",NA,NA,30
"Calvin Austin III","WR","PIT",7.2,1.14,0.157,5.84,8.46,-2.14,-1.84,-2.36,390,465,536,55,"10",NA,NA,41
"Isaiah Likely","TE","BAL",5.01,1.04,0.239,3.46,6.14,-2.14,-2.31,-1.73,389,514,433,25,"8",NA,NA,63
"Derrick Barnes","LB","DET",1.9,0.0707,0.025,1.86,1.94,-2.15,-2.11,-2.25,391,495,519,47,"14",NA,NA,12
"Kenneth Murray","LB","DAL",1.88,0.53,0.075,1.54,2.21,-2.18,-2.43,-1.98,394,531,473,48,"15",NA,NA,84
"James Williams","LB","TEN",1.8,NA,0.075,1.8,1.8,-2.25,-2.16,-2.4,397,503,539,49,"15",NA,NA,NA
"Rashod Bateman","WR","BAL",7.04,0.67,0.129,6.26,7.9,-2.3,-1.41,-2.92,398,375,581,56,"10",NA,NA,6
"Payton Wilson","LB","PIT",1.72,0.177,0.025,1.61,1.84,-2.33,-2.35,-2.36,400,520,535,50,"15",NA,NA,31
"Damone Clark","LB","DAL",1.7,0.0707,2.22e-16,1.66,1.74,-2.35,-2.31,-2.45,401,516,544,51,"15",NA,NA,12
"Devin White","LB","LVR",1.7,0.636,0.025,1.3,2.1,-2.35,-2.67,-2.09,401,552,496,52,"15",NA,NA,91
"Jerome Ford","RB","CLE",4.93,1.63,0.005,3.58,7.37,-2.36,-1.44,-1.09,402,378,301,46,"12",NA,NA,75
"Jeremy McNichols","RB","WAS",4.93,1.41,0.139,2.9,6.2,-2.37,-2.13,-2.26,403,497,520,47,"12",NA,NA,61
"Mason Taylor","TE","NYJ",4.77,0.593,0.213,3.81,5.13,-2.38,-1.96,-2.74,406,478,570,26,"8",NA,NA,9
"Jihaad Campbell","LB","PHI",1.67,1.31,0.05,0.842,2.51,-2.38,-3.12,-1.69,405,599,421,53,"15",NA,NA,99
"Andre Szmyt","K","CLE",6.01,1.13,0,4.71,7.34,-2.42,-2,-2.5,408,481,548,32,"3",NA,NA,19
"Cedric Tillman","WR","CLE",6.91,0.849,0.192,5.69,7.86,-2.43,-1.99,-2.96,411,480,587,57,"10",NA,NA,14
"Cameron McGrone","LB","IND",1.62,0.813,0.025,1.11,2.14,-2.43,-2.86,-2.05,410,574,489,54,"15",NA,NA,99
"Marcelino McCrary-Ball","LB","NYJ",1.6,0.354,2.22e-16,1.38,1.83,-2.45,-2.59,-2.37,413,548,537,55,"15",NA,NA,64
"Teddye Buchanan","LB","BAL",1.6,NA,0,1.6,1.6,-2.45,-2.36,-2.6,413,521,557,55,"15",NA,NA,NA
"Eric Wilson","LB","MIN",1.6,0.636,0.025,1.19,2,-2.45,-2.77,-2.19,414,564,509,56,"15",NA,NA,91
"Jerome Baker","LB","CLE",1.58,0.601,2.22e-16,1.19,1.96,-2.48,-2.77,-2.24,415,565,516,57,"15",NA,NA,88
"Christian Harris","LB","HOU",1.58,0.46,0.025,1.28,1.87,-2.48,-2.68,-2.33,415,553,527,58,"16",NA,NA,76
"Elandon Roberts","LB","LVR",1.55,0.212,0.025,1.42,1.68,-2.5,-2.55,-2.51,417,543,549,59,"16",NA,NA,40
"Ollie Gordon","RB","MIA",4.79,1.69,0.0387,2.1,5.9,-2.51,-2.93,-2.57,418,579,554,48,"12",NA,NA,79
"Ventrell Miller","LB","JAC",1.52,0.389,0.05,1.28,1.77,-2.53,-2.69,-2.42,420,554,540,60,"16",NA,NA,72
"Emari Demercado","RB","ARI",4.75,1.15,0.131,3.43,6,-2.55,-1.6,-2.47,421,411,545,49,"12",NA,NA,48
"Cole Kmet","TE","CHI",4.55,1.53,0.0809,2.41,6.25,-2.59,-3.35,-1.62,423,631,406,27,"9",NA,NA,97
"Josh Downs","WR","IND",6.72,0.828,0.0454,5.47,7.36,-2.62,-2.21,-3.46,424,507,633,58,"10",NA,NA,13
"Russell Wilson","QB","NYG",15.9,2.39,0.377,13,19,-2.65,-3.47,-1.47,426,644,379,23,"7",NA,NA,74
"Malik Washington","WR","MIA",6.68,1.5,0.116,4.59,8.18,-2.67,-3.09,-2.64,429,595,561,59,"10",NA,NA,70
"Cade Otton","TE","TB",4.47,0.607,0.256,3.69,5.21,-2.67,-2.08,-2.66,430,489,563,28,"9",NA,NA,11
"Justice Hill","RB","BAL",4.62,0.828,0.203,3.37,5.25,-2.68,-1.66,-3.22,431,431,612,50,"12",NA,NA,17
"Dontayvion Wicks","WR","GB",6.56,0.893,0.0106,5.67,7.82,-2.78,-2.01,-3,438,482,595,60,"10",NA,NA,20
"Troy Franklin","WR","DEN",6.55,0.616,0.0722,5.85,7.24,-2.79,-1.83,-3.58,439,464,652,61,"10",NA,NA,1
"Elic Ayomanor","WR","TEN",6.48,1.45,0.0871,4.37,7.85,-2.87,-3.31,-2.97,444,621,589,62,"10",NA,NA,68
"Miles Sanders","RB","DAL",4.42,1.4,0.0876,2.62,5.91,-2.88,-2.41,-2.55,448,527,552,51,"12",NA,NA,58
"Tyler Higbee","TE","LAR",4.22,1.11,0.0904,3.24,5.82,-2.93,-2.52,-2.05,452,539,488,29,"9",NA,NA,71
"KaVontae Turpin","WR","DAL",6.39,1.35,0.00612,4.92,8.21,-2.95,-2.76,-2.61,453,561,558,63,"10",NA,NA,62
"Jalen Tolbert","WR","DAL",6.38,1.48,0.0167,4.62,7.85,-2.96,-3.06,-2.97,454,591,590,64,"10",NA,NA,69
"Antonio Gibson","RB","NE",4.33,0.835,0.0242,3.26,5.26,-2.97,-1.77,-3.21,455,453,611,52,"12",NA,NA,18
"Marvin Mims","WR","DEN",6.37,0.91,0.125,5.1,7.13,-2.98,-2.58,-3.69,457,547,662,65,"10",NA,NA,21
"Hassan Haskins","RB","LAC",4.3,1.13,0.00624,2.73,5.48,-2.99,-2.3,-2.99,458,513,593,53,"12",NA,NA,44
"Braelon Allen","RB","NYJ",4.3,0.697,0.001,3.54,5.3,-3,-1.49,-3.17,459,390,606,54,"12",NA,NA,8
"Kyle Monangai","RB","CHI",4.3,1.91,0.034,1.53,6.27,-3,-3.5,-2.2,460,645,512,55,"12",NA,NA,86
"Trevor Lawrence","QB","JAC",15.5,1.26,0.142,14.1,17.3,-3.02,-2.41,-3.13,462,529,602,24,"7",NA,NA,26
"Mike Gesicki","TE","CIN",4.13,0.655,0.0601,3.44,5.04,-3.02,-2.33,-2.83,461,517,576,30,"9",NA,NA,20
"Brian Robinson","RB","SF",4.26,0.561,0.16,3.51,4.87,-3.03,-1.52,-3.59,465,403,653,56,"12",NA,NA,3
"Theo Johnson","TE","NYG",4.07,1.06,0.0583,2.47,5.1,-3.08,-3.3,-2.78,468,619,573,31,"9",NA,NA,66
"Tyquan Thornton","WR","KC",6.24,2.37,0.12,2.71,8.72,-3.1,-4.97,-2.1,471,807,498,66,"10",NA,NA,96
"Noah Fant","TE","CIN",4.01,0.69,0.17,2.96,4.58,-3.14,-2.8,-3.29,474,569,616,32,"9",NA,NA,29
"Aaron Rodgers","QB","PIT",15.4,2.27,0.221,12.5,17.9,-3.17,-3.99,-2.57,476,692,553,25,"7",NA,NA,69
"Tyrone Tracy","RB","NYG",4.1,3.28,0.0495,0.445,7.31,-3.19,-4.58,-1.16,477,749,311,57,"12",NA,NA,99
"Travis Hunter","WR","JAC",6.12,1.17,0.042,4.78,7.7,-3.22,-2.89,-3.12,479,577,601,67,"11",NA,NA,45
"Kendre Miller","RB","NO",4.05,0.334,0.0594,3.61,4.45,-3.24,-1.42,-4.02,480,376,689,58,"13",NA,NA,1
"Tory Horton","WR","SEA",6.08,0.645,0.327,5.21,6.83,-3.26,-2.47,-3.99,483,534,687,68,"11",NA,NA,4
"Ray Davis","RB","BUF",3.99,1.43,0.0119,1.96,5.3,-3.3,-3.07,-3.17,487,593,608,59,"13",NA,NA,63
"Blake Corum","RB","LAR",3.98,0.738,0.0712,3.09,4.96,-3.31,-1.94,-3.51,489,475,641,60,"13",NA,NA,11
"Darren Waller","TE","MIA",3.84,1.13,0.0958,3.07,5.65,-3.31,-2.7,-2.22,488,555,514,33,"9",NA,NA,74
"Bryce Young","QB","CAR",15.2,1.51,0.00477,13.3,17,-3.39,-3.24,-3.45,494,612,631,26,"7",NA,NA,51
"Michael Penix Jr.","QB","ATL",15.2,0.943,0.481,14,16.4,-3.39,-2.55,-4.05,495,542,695,27,"8",NA,NA,17
"Cam Akers","RB","MIN",3.91,0.943,0.162,3.35,4.84,-3.39,-1.68,-3.63,493,436,656,61,"13",NA,NA,28
"AJ Barner","TE","SEA",3.74,0.693,0.0917,2.97,4.74,-3.4,-2.79,-3.13,498,568,604,34,"10",NA,NA,31
"Noah Gray","TE","KC",3.65,0.762,0.091,2.83,4.77,-3.5,-2.94,-3.1,503,580,598,35,"10",NA,NA,37
"Dylan Sampson","RB","CLE",3.75,0.91,0.00262,2.51,4.67,-3.55,-2.52,-3.8,506,538,671,62,"13",NA,NA,24
"Ty Johnson","RB","BUF",3.75,0.767,0.423,2.72,4.7,-3.55,-2.31,-3.77,509,515,666,63,"13",NA,NA,15
"Sterling Shepard","WR","TB",5.75,1.07,0.0107,4.29,6.84,-3.59,-3.39,-3.98,513,636,686,69,"11",NA,NA,37
"Tommy Tremble","TE","CAR",3.56,0.667,0.326,2.7,4.17,-3.59,-3.07,-3.7,512,594,664,36,"10",NA,NA,23
"Kayshon Boutte","WR","NE",5.74,1.01,0.0321,4.41,6.97,-3.6,-3.27,-3.85,514,618,675,70,"11",NA,NA,28
"Josh Palmer","WR","BUF",5.71,1.14,0.173,4.1,6.9,-3.63,-3.58,-3.92,516,651,680,71,"11",NA,NA,42
"Alec Pierce","WR","IND",5.54,1.54,0.303,3.27,7.22,-3.81,-4.41,-3.6,528,732,655,72,"11",NA,NA,72
"Sam Darnold","QB","SEA",14.7,1.4,0.15,13,16.4,-3.87,-3.54,-3.99,530,647,688,28,"8",NA,NA,46
"Zamir White","RB","LVR",3.32,1.13,0.0645,2.43,5.04,-3.97,-2.6,-3.43,536,550,627,64,"13",NA,NA,45
"Cam Ward","QB","TEN",14.5,1.34,0.151,12.8,16.2,-4.02,-3.65,-4.19,540,659,705,29,"8",NA,NA,37
"Zavier Scott","RB","MIN",3.26,1.84,0.399,0.847,5.17,-4.04,-4.18,-3.29,541,705,617,65,"14",NA,NA,83
"Joe Flacco","QB","CLE",14.4,2.99,0.0207,11.1,18.8,-4.18,-5.35,-1.66,546,844,418,30,"8",NA,NA,86
"Spencer Rattler","QB","NO",14.4,2.49,1.04,12.7,18.2,-4.2,-3.78,-2.26,547,672,521,31,"9",NA,NA,80
"Chris Brooks","RB","GB",2.86,0.96,0.075,1.43,3.67,-4.44,-3.6,-4.8,565,653,745,66,"14",NA,NA,30
"Samaje Perine","RB","CIN",2.79,0.656,0.0909,1.99,3.52,-4.51,-3.04,-4.95,572,589,753,67,"14",NA,NA,7
"Emanuel Wilson","RB","GB",2.69,0.762,0.224,1.7,3.61,-4.6,-3.33,-4.86,581,625,748,68,"14",NA,NA,13
"Julius Chestnut","RB","TEN",2.47,1.2,0.13,1.57,4.36,-4.83,-3.46,-4.11,597,640,701,69,"14",NA,NA,49
"Tyler Badie","RB","DEN",2.34,0.482,0.259,1.7,2.84,-4.96,-3.33,-5.63,605,627,800,70,"14",NA,NA,1
"LeQuint Allen","RB","JAC",2.08,0.872,0.0339,0.881,2.95,-5.22,-4.15,-5.51,617,703,796,71,"14",NA,NA,20
"Carson Wentz","QB","MIN",13.3,3.77,6.07,7.75,15.5,-5.23,-8.75,-4.95,618,951,755,32,"10",NA,NA,94
"Will Shipley","RB","PHI",2.05,0.648,0.00177,1.35,2.96,-5.25,-3.68,-5.51,619,662,795,72,"14",NA,NA,6
"J.J. McCarthy","QB","MIN",7.27,6.17,2.5,1.72,12.8,-11.3,-14.8,-7.61,808,952,887,33,"11",NA,NA,97
"Jaxson Dart","QB","NYG",4.77,6.55,0.534,0.38,13.4,-13.8,-16.1,-7.07,809,967,854,34,"11",NA,NA,99
"Tyrod Taylor","QB","NYJ",4.23,3.63,0.627,0.52,8.58,-14.3,-16,-11.9,810,958,962,35,"12",NA,NA,89
"Marcus Mariota","QB","WAS",3.61,2.9,1.76,0.761,5.7,-15,-15.7,-14.7,811,954,963,36,"13",NA,NA,83
