gm,player,position,year,dead_cap_amount
JP Hummer,Deshaun Watson,QB,2027,1.0
JP Hummer,Zack Moss,RB,2027,3.0
JP Hummer,Devin Singletary,RB,2027,2.0
JP Hummer,Najee Harris,RB,2027,1.0
JP Hummer,D'Andre Swift,RB,2027,9.0
JP Hummer,J.K. Dobbins,RB,2027,4.0
JP Hummer,Diontae Johnson,WR,2027,3.0
JP Hummer,Curtis Samuel,WR,2027,1.0
JP Hummer,Jerry Jeudy,WR,2027,8.0
James Vecchio,Antonio Gibson,RB,2027,3.0
James Vecchio,JuJu Smith-Schuster,WR,2027,1.0
James Vecchio,Isaiah Simmons,DB,2027,1.0
James Vecchio,Jeremy Chinn,DB,2027,1.0
James Vecchio,Tyler Nubin,DB,2027,1.0
Jason Shaffer,Keaton Mitchell,RB,2027,1.0
Jason Shaffer,A.J. Epenesa,DL,2027,1.0
Jason Shaffer,Tuli Tuipoluti,DL,2027,1.0
Jason Shaffer,Boye Mafe,DL,2027,1.0
Jason Shaffer,Quay Walker,LB,2027,1.0
Jason Shaffer,Kamren Curl,DB,2027,1.0
Joe Stanek,Cam Akers,RB,2027,2.0
Kevin Eichenbaum,Will Levis,QB,2027,1.0
Kevin Eichenbaum,Zamir White,RB,2027,4.0
Kevin Eichenbaum,Jerome Ford,RB,2027,2.0
Kevin Eichenbaum,Jaleel McLaughlin,RB,2027,2.0
Kevin Eichenbaum,Tre Tucker,WR,2027,1.0
Kevin Eichenbaum,Devaugh Vele,WR,2027,1.0
Kevin Eichenbaum,Wan'Dale Robinson,WR,2027,1.0
Kevin Eichenbaum,Michael Wilson,WR,2027,2.0
Kevin Eichenbaum,Rashid Shaheed,WR,2027,1.0
Kevin Eichenbaum,Isaiah Likely,TE,2027,3.0
Kevin Eichenbaum,Jake Ferguson,TE,2027,2.0
Kevin Eichenbaum,Jermaine Johnson II,DL,2027,1.0
Kevin Eichenbaum,Dorian Williams,LB,2027,1.0
Kevin Eichenbaum,Christian Gonzalez,DB,2027,1.0
Nick Piper,Dameon Pierce,RB,2027,1.0
Nick Piper,Christian Kirk,WR,2027,6.0
Nick Piper,Jacob Cowing,WR,2027,1.0
Nick Piper,Jordan Whittington,WR,2027,1.0
Nick Piper,Treylon Burks,WR,2027,1.0
Nick Piper,Erick All,TE,2027,1.0
Nick Piper,Jake Ferguson,TE,2027,1.0
Nick Piper,Jalen Carter,DL,2027,1.0
Nick Piper,Jaelan Phillips,DL,2027,1.0
Nick Piper,Kayvon Thibodeaux,LB,2027,1.0
Nick Piper,Derek Stingley,DB,2027,1.0
TJ Hrabek,Justin Fields,QB,2027,1.0
TJ Hrabek,Joe Mixon,RB,2027,2.0
TJ Hrabek,Devin Neal,RB,2027,1.0
TJ Hrabek,Evan Engram,TE,2027,1.0
TJ Hrabek,Bradley Chubb,DL,2027,1.0
TJ Hrabek,Jessie Bates III,DB,2027,3.0
TJ Hrabek,Christian Gonzalez,DB,2027,1.0
TJ Hrabek,Jourdan Lewis,DB,2027,1.0
Eric Cookmeyer,Gus Edwards,RB,2028,2.0
Eric Cookmeyer,Emanuel Wilson,RB,2028,1.0
Eric Cookmeyer,Cooper Kupp,WR,2028,3.0
Gordon Peterson,San Francisco 49ers,D/ST,2028,1.0
JP Hummer,Zack Moss,RB,2028,3.0
JP Hummer,Devin Singletary,RB,2028,2.0
JP Hummer,Najee Harris,RB,2028,1.0
JP Hummer,Diontae Johnson,WR,2028,3.0
JP Hummer,Curtis Samuel,WR,2028,1.0
Kevin Eichenbaum,Tre Tucker,WR,2028,1.0
Kevin Eichenbaum,Devaugh Vele,WR,2028,1.0
Kevin Eichenbaum,Wan'Dale Robinson,WR,2028,1.0
Kevin Eichenbaum,Isaiah Likely,TE,2028,4.0
Kevin Eichenbaum,Jermaine Johnson II,DL,2028,1.0
Kevin Eichenbaum,Dorian Williams,LB,2028,1.0
Nick Piper,Christian Kirk,WR,2028,6.0
Nick Piper,Jacob Cowing,WR,2028,1.0
Nick Piper,Jordan Whittington,WR,2028,1.0
Nick Piper,Erick All,TE,2028,1.0
Nick Piper,Jalen Carter,DL,2028,1.0
Nick Piper,Kayvon Thibodeaux,LB,2028,1.0
Nick Piper,Derek Stingley,DB,2028,1.0
TJ Hrabek,Joe Mixon,RB,2028,2.0
TJ Hrabek,Bradley Chubb,DL,2028,1.0
TJ Hrabek,Jessie Bates III,DB,2028,2.0
Eric Cookmeyer,Cooper Kupp,WR,2029,3.0
TJ Hrabek,Jessie Bates III,DB,2029,2.0
