"Player","Year","Total Routes","Screen","Slant","Curl","Dig","Post","Nine","Corner","Out","Comeback","Flat","Other"
"D.J. Moore","2021","278","2.5","21.2","11.5","16.9","6.5","16.2","3.6","8.6","7.9","4.3","0.7"
"Keenan Allen","2021","304","4.9","21.7","15.8","10.9","8.6","5.6","4.6","7.2","5.3","12.8","2.6"
"Brandin Cooks","2021","241","5.0","20.3","12.4","8.7","5.8","15.4","5.8","9.5","5.4","8.7","2.9"
"Mike Evans","2021","297","2.7","15.2","16.8","18.2","5.4","21.5","4.4","7.7","4.4","2.4","1.3"
"Allen Lazard","2021","212","2.4","23.1","8.0","9.9","12.3","12.3","6.1","7.5","4.2","11.3","2.8"
"Kenny Golladay","2021","252","0.0","18.3","14.3","11.5","9.9","23.8","6.3","7.9","4.0","2.4","1.6"
"Tim Patrick","2021","222","1.4","18.5","17.6","12.6","9.5","15.3","7.7","5.0","2.7","6.3","3.6"
"Tyler Boyd","2021","263","3.4","16.0","15.6","12.5","8.0","9.9","3.4","8.0","4.9","14.8","3.4"
"Courtland Sutton","2021","298","1.3","20.1","20.5","15.8","8.1","19.1","4.4","5.7","1.7","1.3","2.0"
"Jakobi Meyers","2021","265","1.9","24.5","7.5","14.3","10.6","10.9","2.3","11.7","2.3","9.8","4.2"
"Julio Jones","2021","199","1.5","20.6","12.6","20.6","8.5","17.1","6.0","8.5","2.5","2.0","0.0"
"Calvin Ridley*","2021","200","2.0","14.5","16.5","18.5","3.5","11.5","5.0","13.5","5.0","7.5","2.5"
"Justin Jefferson","2020","283","1.8","24.4","12.0","10.6","8.1","17.3","7.1","9.5","2.1","3.9","3.2"
"CeeDee Lamb","2020","281","3.2","20.3","13.5","6.0","10.7","12.1","1.1","11.4","3.2","14.2","4.3"
"Allen Robinson","2020","311","1.6","31.8","13.2","6.8","6.8","15.1","4.8","8.0","1.6","7.7","2.6"
"Chris Godwin","2020","292","5.5","24.3","11.3","11.3","16.1","5.5","2.1","10.6","1.0","8.9","3.4"
"Will Fuller","2020","275","2.9","21.5","5.5","17.1","6.2","22.2","5.8","9.1","1.8","5.1","2.9"
"Kenny Golladay*","2020","136","0.0","26.5","10.3","16.2","9.6","18.4","2.2","5.1","5.9","4.4","1.5"
"Antonio Brown","2020","243","9.5","14.4","15.6","11.5","9.9","18.1","1.2","8.2","1.2","6.6","3.7"
"Curtis Samuel","2020","264","6.1","19.7","7.6","4.9","13.3","12.1","3.8","10.6","4.2","12.9","4.9"
"Corey Davis","2020","223","0.9","21.5","16.1","13.5","4.9","7.6","4.9","17.9","5.4","4.0","3.1"
