"Player","Year","Total Routes","Screen","Slant","Curl","Dig","Post","Nine","Corner","Out","Comeback","Flat","Other"
"Allen Lazard","2022","217","100.0%","77.4%","73.3%","59.5%","66.7%","36.1%","54.5%","50.0%","66.7%","87.5%","33.3%"
"Parris Campbell","2022","264","100.0%","69.8%","51.6%","50.0%","76.2%","60.5%","50.0%","51.7%","50.0%","80.0%","66.7%"
"Chris Olave","2022","269","100.0%","90.0%","83.0%","82.9%","70.0%","60.4%","93.8%","78.1%","100.0%","100.0%","75.0%"
"D.J. Moore","2022","234","100.0%","84.4%","74.1%","76.6%","68.8%","62.7%","70.0%","84.6%","80.0%","93.8%","75.0%"
"Garrett Wilson","2022","292","100.0%","83.7%","89.3%","78.8%","81.8%","65.2%","46.7%","67.7%","100.0%","77.8%","66.7%"
"Elijah Moore","2022","316","100.0%","74.5%","86.4%","82.2%","50.0%","59.1%","57.1%","81.3%","77.8%","94.7%","77.8%"
"Brandin Cooks","2022","256","100.0%","81.1%","68.8%","75.0%","73.3%","59.4%","85.7%","78.6%","66.7%","52.9%","100.0%"
"Christian Watson","2022","173","85.7%","73.3%","75.0%","66.7%","72.4%","62.2%","70.0%","85.7%","50.0%","88.2%","33.3%"
"George Pickens","2022","272","100.0%","69.0%","67.9%","61.9%","85.7%","58.0%","64.0%","85.7%","64.3%","100.0%","85.7%"
"Drake London","2022","208","100.0%","82.4%","81.8%","80.0%","88.2%","63.2%","28.6%","70.4%","33.3%","81.8%","100.0%"
"Treylon Burks","2022","179","100.0%","86.5%","65.4%","79.2%","50.0%","52.5%","83.3%","69.2%","50.0%","80.0%","0.0%"
"Jahan Dotson","2022","274","100.0%","79.2%","86.7%","82.6%","80.0%","60.3%","83.3%","78.3%","94.1%","33.3%","71.4%"
"Alec Pierce","2022","212","100.0%","82.9%","69.2%","67.4%","77.8%","68.6%","33.3%","70.6%","50.0%","100.0%","100.0%"
"Skyy Moore","2022","130","100.0%","80.8%","78.3%","87.5%","64.3%","40.0%","75.0%","60.0%","33.3%","88.9%","75.0%"
"Wan'Dale Robinson*","2022","135","100.0%","66.7%","55.6%","69.2%","71.4%","40.0%","50.0%","80.0%","66.7%","90.5%","75.0%"
"Romeo Doubs","2022","194","100.0%","70.3%","69.6%","50.0%","73.3%","51.1%","66.7%","85.7%","N/A","84.6%","66.7%"
"Brandon Aiyuk","2022","219","100.0%","84.6%","76.5%","86.7%","82.6%","58.6%","62.5%","82.4%","61.5%","100.0%","66.7%"
"Ja'Marr Chase","2022","318","100.0%","81.2%","76.5%","74.1%","60.0%","67.9%","81.3%","83.3%","90.9%","86.7%","88.9%"
"Michael Pittman","2022","314","100.0%","83.9%","81.1%","80.0%","83.3%","53.6%","66.7%","66.7%","69.2%","95.0%","85.7%"
"Amon-Ra St. Brown","2022","264","100.0%","79.7%","78.8%","74.4%","63.6%","50.0%","42.9%","78.6%","66.7%","83.8%","75.0%"
"Jerry Jeudy","2022","280","100.0%","78.0%","70.0%","65.2%","68.2%","46.5%","50.0%","78.8%","53.8%","84.8%","57.1%"
"Jaylen Waddle","2022","264","100.0%","80.0%","66.7%","83.3%","78.4%","68.8%","66.7%","78.3%","57.1%","75.0%","80.0%"
"DeVonta Smith","2022","275","100.0%","83.9%","81.1%","88.2%","70.8%","62.5%","80.0%","77.8%","83.3%","80.0%","100.0%"
"Justin Jefferson","2022","332","100.0%","78.6%","85.3%","80.4%","77.8%","77.4%","82.1%","83.7%","80.0%","87.1%","100.0%"
"CeeDee Lamb","2022","268","100.0%","79.0%","85.3%","80.0%","64.1%","56.0%","80.0%","80.0%","83.3%","95.2%","76.9%"
"Tee Higgins","2022","322","100.0%","81.3%","75.0%","80.6%","57.1%","65.6%","73.3%","72.7%","85.7%","85.0%","85.7%"
"Kadarius Toney","2022","76","100.0%","66.7%","66.7%","50.0%","50.0%","44.4%","80.0%","25.0%","N/A","90.9%","44.4%"
"Nico Collins","2022","227","100.0%","76.5%","82.9%","70.7%","62.5%","60.6%","72.7%","66.7%","66.7%","100.0%","100.0%"
"Gabe Davis","2022","287","100.0%","69.6%","73.8%","60.9%","70.5%","59.3%","62.5%","83.3%","50.0%","66.7%","50.0%"
"Deebo Samuel","2022","228","100.0%","75.7%","66.7%","80.0%","76.9%","38.1%","63.6%","55.6%","50.0%","88.9%","83.3%"
"Stefon Diggs","2022","284","100.0%","83.9%","94.3%","90.9%","89.3%","62.5%","76.5%","90.0%","100.0%","85.2%","88.9%"
"Diontae Johnson","2022","281","100.0%","85.7%","89.8%","92.3%","77.8%","56.6%","66.7%","89.7%","76.5%","78.9%","87.5%"
"DK Metcalf","2022","265","100.0%","80.3%","90.0%","83.3%","73.1%","55.8%","43.8%","92.3%","85.7%","85.7%","100.0%"
"Terry McLaurin","2022","273","100.0%","83.3%","92.0%","72.9%","62.5%","68.6%","78.6%","60.9%","75.0%","100.0%","100.0%"
"A.J. Brown","2022","241","100.0%","87.5%","80.0%","82.4%","58.8%","69.2%","55.6%","90.9%","100.0%","100.0%","66.7%"
"Davante Adams","2022","283","100.0%","90.2%","90.9%","76.3%","85.7%","61.7%","81.8%","72.0%","100.0%","100.0%","90.9%"
"Keenan Allen","2022","299","100.0%","78.0%","79.4%","76.6%","57.1%","39.1%","50.0%","75.0%","70.0%","89.5%","78.6%"
"Amari Cooper","2022","216","100.0%","78.7%","71.4%","87.1%","83.3%","56.0%","50.0%","91.3%","66.7%","80.0%","50.0%"
"Tyler Lockett","2022","276","100.0%","73.5%","92.9%","85.7%","81.8%","62.5%","53.8%","96.0%","93.8%","89.3%","76.5%"
"Cooper Kupp","2022","290","100.0%","80.0%","82.0%","76.1%","68.4%","57.9%","80.8%","83.9%","66.7%","90.9%","100.0%"
"Tyreek Hill","2022","252","100.0%","84.4%","90.0%","84.6%","67.7%","68.2%","63.6%","78.3%","90.0%","92.0%","80.0%"
"Marquise Brown","2022","308","100.0%","84.1%","87.5%","85.0%","72.2%","55.9%","61.1%","65.2%","87.5%","90.0%","44.4%"
"Christian Kirk","2022","263","100.0%","78.0%","75.9%","79.4%","73.8%","47.1%","66.7%","78.9%","50.0%","81.3%","40.0%"
"Mike Williams","2022","311","100.0%","79.7%","82.9%","66.7%","76.7%","62.0%","65.0%","66.7%","70.0%","66.7%","62.5%"
"Chris Godwin","2022","368","100.0%","87.1%","86.0%","60.4%","60.0%","27.3%","60.0%","77.1%","100.0%","91.4%","38.5%"
"Davante Adams","2021","255","100.0%","85.9%","87.5%","82.1%","90.0%","73.5%","80.0%","77.3%","75.0%","100.0%","57.1%"
"Odell Beckham","2021","249","100.0%","78.7%","86.5%","77.5%","77.8%","56.8%","66.7%","93.8%","63.6%","60.0%","100.0%"
"Allen Robinson","2021","220","100.0%","77.4%","85.7%","69.2%","70.6%","65.4%","75.0%","60.0%","40.0%","90.9%","83.3%"
"Amari Cooper","2021","289","100.0%","67.3%","76.0%","70.0%","76.5%","62.5%","64.3%","71.4%","60.0%","77.3%","70.0%"
"D.J. Chark*","2021","103","N/A","45.5%","61.5%","50.0%","64.3%","53.1%","66.7%","62.5%","100.0%","60.0%","0.0%"
"JuJu Smith-Schuster*","2021","137","100.0%","80.8%","62.5%","55.6%","66.7%","33.3%","57.1%","83.3%","33.3%","90.0%","66.7%"
"Russell Gage","2021","234","100.0%","76.3%","69.7%","78.4%","80.0%","53.3%","78.6%","72.7%","84.6%","70.6%","83.3%"
"Jarvis Landry","2021","237","100.0%","73.7%","73.3%","73.1%","53.8%","33.3%","75.0%","70.8%","70.0%","70.3%","66.7%"
