"Player","Year","Tar","Contested Tar","Contested Tar%","Contested Catch%"
"Michael Crabtree","2017","74","20","27.0%","65.0%"
"Michael Thomas","2017","79","15","19.0%","73.3%"
"Mike Evans","2017","70","21","30.0%","66.7%"
"Nelson Agholor","2017","64","14","21.9%","64.3%"
"Paul Richardson","2017","45","11","24.4%","72.7%"
"Pierre Garcon","2017","71","14","19.7%","64.3%"
"Randall Cobb","2017","57","6","10.5%","66.7%"
"Rishard Matthews","2017","59","10","16.9%","80.0%"
"Robby Anderson","2017","71","14","19.7%","64.3%"
"Robert Woods","2017","58","8","13.8%","62.5%"
"Sammy Watkins","2017","49","10","20.4%","60.0%"
"Stefon Diggs","2017","60","17","28.3%","82.4%"
"Sterling Shepard","2017","72","16","22.2%","81.3%"
"T.Y. Hilton","2017","66","12","18.2%","41.7%"
"Tyler Lockett","2017","49","12","24.5%","58.3%"
"Tyreek Hill","2017","59","10","16.9%","70.0%"
"Will Fuller","2017","51","6","11.8%","66.7%"
"A.J. Green","2016","70","9","12.9%","77.8%"
"Adam Thielen","2016","59","9","15.3%","66.7%"
"Allen Robinson","2016","80","25","31.3%","56.0%"
"Alshon Jeffery","2016","71","11","15.5%","81.8%"
"Amari Cooper","2016","82","14","17.1%","57.1%"
"Antonio Brown","2016","97","22","22.7%","81.8%"
"Brandin Cooks","2016","54","8","14.8%","50.0%"
"Brandon Marshall","2016","80","13","16.3%","61.5%"
"Cameron Meredith","2016","77","11","14.3%","45.5%"
"Chris Conley","2016","44","7","15.9%","85.7%"
"Corey Coleman","2016","61","7","11.5%","57.1%"
"Davante Adams","2016","75","16","21.3%","75.0%"
"DeAndre Hopkins","2016","85","15","17.6%","60.0%"
"Demaryius Thomas","2016","49","14","28.6%","71.4%"
"DeSean Jackson","2016","50","4","8.0%","75.0%"
"DeVante Parker","2016","58","13","22.4%","61.5%"
"Dez Bryant","2016","88","9","10.2%","77.8%"
"Donte Moncrief","2016","53","8","15.1%","87.5%"
"Doug Baldwin","2016","51","4","7.8%","75.0%"
"Emmanuel Sanders","2016","90","7","7.8%","85.7%"
"Eric Decker","2016","72","9","12.5%","66.7%"
"Golden Tate","2016","62","11","17.7%","72.7%"
